0,0,0,0.400025,0.674949,1
0,0,1,0.400016,0.197235,1
0,0,2,0.400016,0.469338,1
0,0,3,0.400016,0.570191,1
0,0,4,0.400016,0.537189,1
0,0,5,0.400016,0.0314219,1
0,0,6,0.400016,0.000112254,1
0,0,7,0.400016,0.711473,1
0,0,8,0.400016,0.0341174,1
0,0,9,0.400016,0.372941,0
0,1,0,0.308462,0.731737,1
0,1,1,0.281588,0.694748,1
0,1,2,0.288995,0.703482,1
0,1,3,0.300355,0.719488,1
0,1,4,0.249609,0.642362,1
0,1,5,0.222474,0.536644,1
0,1,6,0.222229,0.206013,1
0,1,7,0.22223,0.522699,1
0,1,8,0.222229,0.153794,1
0,1,9,0.314065,0.742794,0
0,2,0,0.370238,0.793904,1
0,2,1,0.328644,0.751373,1
0,2,2,0.34772,0.771455,1
0,2,3,0.352944,0.774992,1
0,2,4,0.174244,0.512521,1
0,2,5,0.154677,0.441732,1
0,2,6,0.153851,0.129626,1
0,2,7,0.153851,0.377035,1
0,2,8,0.153851,0.0804396,1
0,2,9,0.374781,0.79859,0
0,3,0,0.426032,0.834211,1
0,3,1,0.379002,0.796466,1
0,3,2,0.403968,0.816814,1
0,3,3,0.405351,0.816737,1
0,3,4,0.134546,0.433731,1
0,3,5,0.118485,0.364101,1
0,3,6,0.117651,0.0965335,1
0,3,7,0.117651,0.305906,1
0,3,8,0.117651,0.0596147,1
0,3,9,0.429535,0.837418,0
0,4,0,0.475428,0.863457,1
0,4,1,0.438176,0.842213,1
0,4,2,0.457911,0.853547,1
0,4,3,0.459747,0.854198,1
0,4,4,0.106483,0.348867,1
0,4,5,0.0957745,0.287964,1
0,4,6,0.0952415,0.124292,1
0,4,7,0.0952416,0.255463,1
0,4,8,0.0952415,0.0666955,1
0,4,9,0.477726,0.864935,0
0,5,0,0.518459,0.884871,1
0,5,1,0.489652,0.87093,1
0,5,2,0.505228,0.87885,1
0,5,3,0.506848,0.87942,1
0,5,4,0.0876435,0.274305,1
0,5,5,0.0803571,0.241725,1
0,5,6,0.0800033,0.132902,1
0,5,7,0.0800034,0.202852,1
0,5,8,0.0800033,0.0572805,1
0,5,9,0.519749,0.885137,0
0,6,0,0.555777,0.900497,1
0,6,1,0.533859,0.891387,1
0,6,2,0.545993,0.89669,1
0,6,3,0.547419,0.897104,1
0,6,4,0.0744674,0.239728,1
0,6,5,0.0692148,0.209515,1
0,6,6,0.0689688,0.112957,1
0,6,7,0.0689688,0.174517,1
0,6,8,0.0689688,0.0480538,1
0,6,9,0.556341,0.900431,0
0,7,0,0.588246,0.912583,1
0,7,1,0.571842,0.906582,1
0,7,2,0.581198,0.910202,1
0,7,3,0.582457,0.910512,1
0,7,4,0.0647347,0.206309,1
0,7,5,0.0602491,0.17843,1
0,7,6,0.0600283,0.0944557,1
0,7,7,0.0600283,0.147612,1
0,7,8,0.0600283,0.0397076,1
0,7,9,0.588283,0.912332,0
0,8,0,0.616635,0.92217,1
0,8,1,0.604621,0.918234,1
0,8,2,0.611754,0.920734,1
0,8,3,0.61287,0.920972,1
0,8,4,0.0563229,0.174999,1
0,8,5,0.0523795,0.149872,1
0,8,6,0.052182,0.0780328,1
0,8,7,0.052182,0.123205,1
0,8,8,0.052182,0.0324625,1
0,8,9,0.616289,0.921812,0
0,9,0,0.641599,0.929936,1
0,9,1,0.633078,0.927413,1
0,9,2,0.638435,0.929145,1
0,9,3,0.63943,0.929331,1
0,9,4,0.0489469,0.146273,1
0,9,5,0.0454879,0.123958,1
0,9,6,0.045312,0.0635843,1
0,9,7,0.045312,0.101312,1
0,9,8,0.045312,0.026212,1
0,9,9,0.640971,0.929519,0
0,10,0,0.663677,0.936342,1
0,10,1,0.657945,0.934809,1
0,10,2,0.661878,0.936,1
0,10,3,0.662771,0.936147,1
0,10,4,0.0424933,0.120263,1
0,10,5,0.0394653,0.100756,1
0,10,6,0.0393091,0.0509994,1
0,10,7,0.0393091,0.0819131,1
0,10,8,0.0393091,0.0208592,1
0,10,9,0.662842,0.935894,0
0,11,0,0.683314,0.941708,1
0,11,1,0.679817,0.940883,1
0,11,2,0.682606,0.941684,1
0,11,3,0.683411,0.941802,1
0,11,4,0.0368576,0.0970469,1
0,11,5,0.0342115,0.0802878,1
0,11,6,0.0340733,0.040164,1
0,11,7,0.0340733,0.0649593,1
0,11,8,0.0340733,0.0163174,1
0,11,9,0.682327,0.941246,0
0,12,0,0.700875,0.946263,1
0,12,1,0.699177,0.945953,1
0,12,2,0.70104,0.946467,1
0,12,3,0.70177,0.946563,1
0,12,4,0.0319444,0.0766582,1
0,12,5,0.0296355,0.0625353,1
0,12,6,0.0295136,0.0309632,1
0,12,7,0.0295136,0.0503765,1
0,12,8,0.0295136,0.0125082,1
0,12,9,0.699776,0.945798,0
0,13,0,0.716659,0.950175,1
0,13,1,0.716416,0.950243,1
0,13,2,0.717527,0.950544,1
