0,0,0.587727,1
0,1,0.58761,1
0,2,0.588028,1
0,3,0.587581,1
0,4,0.250142,1
0,5,0.250126,1
0,6,0.250007,1
0,7,0.250007,1
0,8,0.250007,1
0,9,0.586935,0
1,0,0.652478,1
1,1,0.652485,1
1,2,0.652844,1
1,3,0.652735,1
1,4,0.5,1
1,5,0.5,1
1,6,0.5,1
1,7,0.5,1
1,8,0.5,1
1,9,0.651543,0
2,0,0.701349,1
2,1,0.701198,1
2,2,0.701686,1
2,3,0.701681,1
2,4,0.5878,1
2,5,0.587789,1
2,6,0.587954,1
2,7,0.587502,1
2,8,0.58652,1
2,9,0.699812,0
3,0,0.73899,1
3,1,0.738746,1
3,2,0.739016,1
3,3,0.739145,1
3,4,0.652465,1
3,5,0.652919,1
3,6,0.653147,1
3,7,0.652374,1
3,8,0.652244,1
3,9,0.737334,0
4,0,0.76863,1
4,1,0.768425,1
4,2,0.768618,1
4,3,0.768688,1
4,4,0.701511,1
4,5,0.701301,1
4,6,0.701847,1
4,7,0.701218,1
4,8,0.701478,1
4,9,0.767045,0
5,0,0.792446,1
5,1,0.792355,1
5,2,0.792357,1
5,3,0.792511,1
5,4,0.739117,1
5,5,0.739013,1
5,6,0.739087,1
5,7,0.738969,1
5,8,0.739059,1
5,9,0.79125,0
6,0,0.812,1
6,1,0.811862,1
6,2,0.811921,1
6,3,0.812064,1
6,4,0.768651,1
6,5,0.768372,1
6,6,0.76869,1
6,7,0.768362,1
6,8,0.768684,1
6,9,0.810934,0
7,0,0.828273,1
7,1,0.828188,1
7,2,0.828203,1
7,3,0.828337,1
7,4,0.792512,1
7,5,0.792263,1
7,6,0.792425,1
7,7,0.792226,1
7,8,0.792537,1
7,9,0.827429,0
8,0,0.842014,1
8,1,0.841972,1
8,2,0.841924,1
8,3,0.842079,1
8,4,0.811994,1
8,5,0.811746,1
8,6,0.811948,1
8,7,0.811818,1
8,8,0.812087,1
8,9,0.841298,0
9,0,0.853764,1
9,1,0.853753,1
9,2,0.85369,1
9,3,0.853805,1
9,4,0.828249,1
9,5,0.828085,1
9,6,0.828213,1
9,7,0.828121,1
9,8,0.828356,1
9,9,0.853169,0
10,0,0.86392,1
10,1,0.863904,1
10,2,0.863856,1
10,3,0.863953,1
10,4,0.841977,1
10,5,0.841859,1
10,6,0.841948,1
10,7,0.84187,1
10,8,0.842117,1
10,9,0.863458,0
11,0,0.872794,1
11,1,0.872775,1
11,2,0.872729,1
11,3,0.872789,1
11,4,0.853616,1
11,5,0.853646,1
11,6,0.853688,1
11,7,0.853669,1
11,8,0.853867,1
11,9,0.872364,0
12,0,0.880584,1
12,1,0.880572,1
12,2,0.880538,1
12,3,0.880569,1
12,4,0.863804,1
12,5,0.863806,1
12,6,0.863861,1
12,7,0.863862,1
12,8,0.863958,1
12,9,0.880124,0
13,0,0.887503,1
13,1,0.887488,1
13,2,0.887446,1
13,3,0.887483,1
13,4,0.872672,1
13,5,0.872691,1
13,6,0.872729,1
13,7,0.872751,1
13,8,0.872836,1
13,9,0.887088,0
14,0,0.893656,1
14,1,0.893656,1
14,2,0.893618,1
14,3,0.893653,1
14,4,0.88049,1
14,5,0.880511,1
14,6,0.880535,1
14,7,0.880563,1
14,8,0.880632,1
14,9,0.893313,0
15,0,0.899197,1
15,1,0.8992,1
15,2,0.89916,1
15,3,0.899174,1
15,4,0.887399,1
15,5,0.887438,1
15,6,0.887418,1
15,7,0.887488,1
15,8,0.887549,1
15,9,0.898892,0
16,0,0.904197,1
16,1,0.904192,1
16,2,0.90416,1
16,3,0.904162,1
16,4,0.893583,1
16,5,0.893611,1
16,6,0.893572,1
16,7,0.893667,1
16,8,0.893714,1
16,9,0.903944,0
17,0,0.90873,1
17,1,0.908726,1
17,2,0.908692,1
17,3,0.908688,1
17,4,0.899127,1
17,5,0.899149,1
17,6,0.89908,1
17,7,0.899212,1
17,8,0.899249,1
17,9,0.908516,0
18,0,0.912857,1
18,1,0.912857,1
18,2,0.912801,1
18,3,0.912816,1
18,4,0.904124,1
18,5,0.90414,1
18,6,0.90407,1
18,7,0.904212,1
18,8,0.904244,1
18,9,0.912691,0
